Time(s),smooth_qw,smooth_qx,smooth_qy,smooth_qz,ax,ay,az,gx,gy,gz,mx,my,mz,lx,ly,lz
0.000757,0.9295196602288416,0.25090534170009704,-0.0026135973093760105,-0.2702459617894795,-9.6484,2.0469,1.1562,0.0391,0.0,0.0156,6.5,-36.1875,-11.5,-0.0977,-0.0391,0.1953
0.000926,0.7828210733062133,0.4233641011533982,-0.004410042720347897,-0.4559984172839726,-9.6133,2.0742,1.1289,0.0391,-0.0293,0.0098,6.4375,-37.25,-11.0,-0.0977,-0.0391,0.1953
0.001062,0.6307100708680453,0.5279872286581283,-0.005499866965188836,-0.5686862442005256,-9.5898,2.1328,1.1367,0.0391,-0.0293,0.0098,6.875,-37.25,-11.0625,-0.0977,-0.0391,0.1953
0.001175,0.5028244404145338,0.5881123767447554,-0.006126170591091201,-0.6334460391188302,-9.5898,2.1602,1.168,0.0391,-0.0293,0.0098,6.875,-37.25,-11.0625,-0.0977,-0.0391,0.1953
0.001276,0.4045293518350833,0.6220968994055274,-0.006724942824009409,-0.6703030854754664,-9.5742,2.1602,1.1953,0.0391,-0.0293,0.0098,6.875,-37.25,-11.0625,-0.0977,-0.0391,0.1953
0.001389,0.33223749452462226,0.6414685142920487,-0.007128027392873819,-0.6914373316718153,-9.5742,2.125,1.1367,0.0391,-0.0293,0.0098,6.875,-37.25,-11.0625,-0.0977,-0.0391,0.1953
0.001496,0.2801982698307023,0.6527055268514058,-0.007445714510450746,-0.7038529577524972,-9.5312,2.0938,1.1289,0.0508,-0.0469,0.0078,6.875,-37.25,-11.0625,-0.0977,-0.0391,0.1953
0.001595,0.24320845521987652,0.6594217285056856,-0.007655209540824261,-0.7113044559476773,-9.5469,2.0742,1.0898,0.0664,-0.0469,0.0156,6.875,-37.25,-11.0625,-0.0977,-0.0391,0.1953
0.001709,0.2169601166698367,0.6634584827713513,-0.00806549424143561,-0.7160210173004622,-9.5547,2.0938,1.0898,0.0664,-0.0469,0.0156,6.875,-37.25,-11.0625,-0.0977,-0.0391,0.1953
0.001820,0.19839330337613065,0.665963581714455,-0.008499325570995312,-0.7190690971460248,-9.6602,2.125,1.0508,0.0664,-0.0469,0.0156,6.875,-37.25,-11.0625,-0.0977,-0.0391,0.1953
0.001940,0.18535143699233378,0.6675746161745009,-0.008801243244624614,-0.7210488990087244,-9.5703,2.1328,1.082,0.1152,-0.0527,0.043,6.875,-37.25,-11.0625,-0.0977,-0.0391,0.1953
0.002026,0.176201821894993,0.6686322482264284,-0.00901167916594328,-0.7223590687678582,-9.5,2.0938,1.1016,0.123,-0.0566,0.0508,6.875,-37.25,-11.0625,-0.0977,-0.0391,0.1953
0.002110,0.16978776736276419,0.6693381666956235,-0.009158525603228015,-0.723239002036868,-9.5352,2.0742,1.0898,0.123,-0.0566,0.0508,5.3125,-36.5625,-11.0625,-0.0977,-0.0391,0.1953
0.002195,0.16529358394048208,0.6698154160610439,-0.009261088202666698,-0.7238367024131782,-9.4219,2.1133,1.0117,0.123,-0.0566,0.0508,5.3125,-36.5625,-11.0625,0.0938,-0.1016,-0.0586
