Time(s),smooth_qw,smooth_qx,smooth_qy,smooth_qz,ax,ay,az,gx,gy,gz,mx,my,mz,lx,ly,lz
0.000647,0.922955846698146,0.2612080984402379,0.1020693588088736,-0.26363740316443857,-9.3438,-2.8828,-0.6641,-0.0312,0.0293,-0.0195,25.0625,-20.875,-12.0625,-0.0117,-0.1914,-0.0742
0.000870,0.759461411446107,0.44148341195664864,0.17251352102882325,-0.44558932499964676,-9.4062,-2.7852,-0.6641,-0.0312,0.0293,-0.0195,25.0625,-20.875,-12.0625,-0.0117,-0.1914,-0.0742
0.001003,0.5886660068733324,0.5485872885740445,0.21436530157299907,-0.5536892961294276,-9.3828,-2.6914,-0.6328,-0.0312,0.0293,-0.0195,25.0625,-20.875,-12.0625,-0.1172,0.0312,-0.0469
0.001133,0.4451145543239802,0.6076939915050673,0.23746176491200366,-0.613345707103653,-9.3203,-2.6914,-0.6133,-0.0312,0.0293,-0.0195,25.0,-22.9375,-12.0625,-0.1172,0.0312,-0.0469
0.001236,0.3352445620637264,0.63947326612526,0.2497100517072216,-0.6452363253833198,-9.3398,-2.6914,-0.5664,-0.0312,0.0293,-0.0195,25.0,-22.9375,-12.0625,-0.1172,0.0312,-0.0469
0.001343,0.2548177230534407,0.6564235755434092,0.2562151730985523,-0.6622158277802979,-9.3516,-2.7305,-0.5078,-0.0312,0.0293,-0.0195,25.0,-22.9375,-12.0625,-0.0312,0.0586,0.0195
0.001449,0.19720781970582074,0.6655546850226424,0.2597012632951647,-0.671342901157213,-9.3867,-2.7578,-0.5273,-0.0312,0.0293,-0.0195,24.3125,-21.9375,-14.25,-0.0312,0.0586,0.0195
0.001553,0.15644720332287912,0.6706245352362062,0.26160214074544436,-0.6762775504695339,-9.3672,-2.8242,-0.5586,-0.0312,0.0293,-0.0195,24.3125,-21.9375,-14.25,-0.0312,0.0586,0.0195
0.001663,0.12775829832066327,0.6734974808682908,0.26269905228951224,-0.6790200058911866,-9.2773,-2.9492,-0.5781,-0.0312,0.0293,-0.0195,24.3125,-21.9375,-14.25,-0.0312,0.0586,0.0195
0.001776,0.107752691373789,0.6751733302380618,0.2634261753977201,-0.6805416825972378,-9.2266,-3.0156,-0.6133,-0.0312,0.0293,-0.0195,24.3125,-21.9375,-14.25,-0.0312,0.0586,0.0195
0.001903,0.107752691373789,0.6751733302380618,0.2634261753977201,-0.6805416825972378,-9.1797,-3.0664,-0.625,-0.0234,-0.0078,0.0156,24.3125,-21.9375,-14.25,-0.0312,0.0586,0.0195
0.001989,0.107752691373789,0.6751733302380618,0.2634261753977201,-0.6805416825972378,-9.2227,-3.0547,-0.5586,-0.0234,-0.0078,0.0156,24.3125,-21.875,-12.5,-0.0312,0.0586,0.0195
0.002073,0.107752691373789,0.6751733302380618,0.2634261753977201,-0.6805416825972378,-9.2852,-3.0078,-0.6133,-0.0234,-0.0078,0.0156,25.0,-23.0,-13.375,-0.0312,0.0586,0.0195
0.002158,0.107752691373789,0.6751733302380618,0.2634261753977201,-0.6805416825972378,-9.3477,-2.9766,-0.6055,-0.0234,-0.0078,0.0156,25.0,-21.875,-12.0625,-0.0312,0.0586,0.0195
